Pos,Player,PPG,HEAT,Sal,2x,3x,4x,TM,Opp,DvP,PM,Pts L5,FPPM,Proj P,Proj V
PF,Cheick Diallo,9.7,,3200,6.4,9.6,12.8,PHO,POR,1.11,23,10.5,0.94,21.62,6.76
SG,Jerome Robinson,8.9,,3200,6.4,9.6,12.8,WAS,ATL,1.06,25,16.6,0.66,16.5,5.16
PG,Javonte Green,7.5,,3200,6.4,9.6,12.8,BOS,UTA,1,10,7.4,0.78,7.8,2.44
C,Boban Marjanovic,12.9,,3200,6.4,9.6,12.8,DAL,MEM,1.02,0,11.6,1.34,0,0
PF,Khem Birch,12.6,❄️,3200,6.4,9.6,12.8,ORL,MIN,1,0,5.8,0.64,0,0
SF,Timothe Luwawu-Cabarrot,11,🔥,3100,6.2,9.3,12.4,BKN,SA,1.06,27,14,0.67,18.09,5.84
PF,Markieff Morris,19.2,❄️,3100,6.2,9.3,12.4,LAL,MIL,1.05,16,11.7,0.88,14.08,4.54
SF,Isaac Bonga,12.2,,3100,6.2,9.3,12.4,WAS,ATL,1.17,17,10.7,0.68,11.56,3.73
PG,Ryan Arcidiacono,10.5,🔥,3100,6.2,9.3,12.4,CHI,IND,0.97,20,15.8,0.66,13.2,4.26
C,Willie Cauley-Stein,20.7,❄️,3100,6.2,9.3,12.4,DAL,MEM,1.02,11,15.4,0.99,10.89,3.51
PF,Wilson Chandler,14.6,❄️,3100,6.2,9.3,12.4,BKN,SA,1,16,9.9,0.7,11.2,3.61
C,Robert Williams,15.1,,3100,6.2,9.3,12.4,BOS,UTA,1,10,13.3,1.08,10.8,3.48
PG,Elie Okobo,10.4,,3100,6.2,9.3,12.4,PHO,POR,1.07,14,11.5,0.78,10.92,3.52
SF,Kevin Knox,13.1,,3100,6.2,9.3,12.4,NY,OKC,0.93,14,11.1,0.72,10.08,3.25
C,Aron Baynes,21.4,❄️,3000,6,9,12,PHO,POR,1.01,31,11.8,1,31,10.33
PG,D.J. Augustin,20.7,,3000,6,9,12,ORL,MIN,1.04,21,15.7,0.84,17.64,5.88
PG,Brandon Goodwin,12.2,❄️,3000,6,9,12,ATL,WAS,1.04,18,8.6,0.95,17.1,5.7
SF,Justin Jackson,10.7,,3000,6,9,12,DAL,MEM,1,24,10.1,0.67,16.08,5.36
SF,Courtney Lee,7.8,,3000,6,9,12,DAL,MEM,1,23,9.4,0.65,14.95,4.98
SG,John Konchar,10.1,🔥,3000,6,9,12,MEM,DAL,0.96,16,16.4,0.96,15.36,5.12
C,Tony Bradley,11.4,🔥,3000,6,9,12,UTA,BOS,0.98,12,14.9,1.1,13.2,4.4
PG,Jevon Carter,10.8,,3000,6,9,12,PHO,POR,1.07,17,11.2,0.74,12.58,4.19
SF,Mario Hezonja,11.6,,3000,6,9,12,POR,PHO,0.99,15,11.9,0.71,10.65,3.55
SG,Luguentz Dort,11.3,,3000,6,9,12,OKC,NY,1,24,10.3,0.52,12.48,4.16
PG,Chris Chiozza,10,,3000,6,9,12,BKN,SA,1.02,15,11.1,0.91,13.65,4.55
SG,Pat Connaughton,14.6,,3000,6,9,12,MIL,LAL,0.95,16,15.5,0.79,12.64,4.21
SF,Treveon Graham,10.1,,3000,6,9,12,ATL,WAS,1.06,19,10.7,0.59,11.21,3.74
PF,Marvin Williams,13.8,,3000,6,9,12,MIL,LAL,0.88,16,13.2,0.72,11.52,3.84
PF,Abdel Nader,10.9,🔥,3000,6,9,12,OKC,NY,1.02,17,16.7,0.7,11.9,3.97
PF,Anthony Tolliver,9.4,,3000,6,9,12,MEM,DAL,1,19,7.1,0.61,11.59,3.86
SF,JaKarr Sampson,8.3,,3000,6,9,12,IND,CHI,1.01,14,5.8,0.64,8.96,2.99
SG,E'Twaun Moore,15.8,❄️,3000,6,9,12,NO,MIA,0.99,16,10.4,0.83,13.28,4.43
SG,Wayne Ellington,11.1,,3000,6,9,12,NY,OKC,0.94,16,11.6,0.67,10.72,3.57
PG,Anfernee Simons,15.4,,3000,6,9,12,POR,PHO,1.04,14,14.4,0.7,9.8,3.27
SG,Andre Iguodala,14,,3000,6,9,12,MIA,NO,1.05,13,11.8,0.77,10.01,3.34
SG,Reggie Bullock,16.2,❄️,3000,6,9,12,NY,OKC,0.94,16,9.4,0.67,10.72,3.57
C,Drew Eubanks,6.8,,3000,6,9,12,SA,BKN,1.07,14,6.6,0.87,12.18,4.06
SF,Jake Layman,15.6,❄️,3000,6,9,12,MIN,ORL,0.98,13,8.8,0.69,8.97,2.99
C,Robin Lopez,11.1,,3000,6,9,12,MIL,LAL,0.91,12,11.9,0.77,9.24,3.08
PG,Alex Caruso,13.3,,3000,6,9,12,LAL,MIL,0.99,10,16.5,0.74,7.4,2.47
C,Caleb Swanigan,9.2,,3000,6,9,12,POR,PHO,1.02,11,11.3,0.83,9.13,3.04
PG,Gary Payton,13.2,❄️,3000,6,9,12,WAS,ATL,1,8,4.2,0.85,6.8,2.27
C,Bruno Fernando,11.4,🔥,3000,6,9,12,ATL,WAS,1.11,9,19.5,0.88,7.92,2.64
SF,Wes Iwundu,11.5,,3000,6,9,12,ORL,MIN,1.03,13,10.9,0.64,8.32,2.77
SF,Georges Niang,10.1,,3000,6,9,12,UTA,BOS,0.92,11,8.4,0.76,8.36,2.79
C,Anzejs Pasecniks,14.7,❄️,3000,6,9,12,WAS,ATL,1.05,10,5.8,0.8,8,2.67
SG,Romeo Langford,5.6,,3000,6,9,12,BOS,UTA,0.92,12,4.8,0.5,6,2
PG,Frank Jackson,9.3,,3000,6,9,12,NO,MIA,0.9,12,6.8,0.72,8.64,2.88
SF,Terrance Ferguson,9.3,,3000,6,9,12,OKC,NY,1.03,17,7.2,0.39,6.63,2.21
PF,Gary Clark,8.7,,3000,6,9,12,ORL,MIN,1,11,7.8,0.69,7.59,2.53
SF,Vince Carter,10.7,❄️,3000,6,9,12,ATL,WAS,1.06,8,7.8,0.74,5.92,1.97
SF,Kelan Martin,12.7,,3000,6,9,12,MIN,ORL,0.98,8,9.9,0.77,6.16,2.05
SF,Keldon Johnson,6.2,,3000,6,9,12,SA,BKN,0.95,7,7.4,0.93,6.51,2.17
SG,Sterling Brown,12.3,❄️,3000,6,9,12,MIL,LAL,0.95,7,7.1,0.84,5.88,1.96
PF,Ersan Ilyasova,16,❄️,3000,6,9,12,MIL,LAL,0.88,5,9.4,1,5,1.67
SF,Nassir Little,8.4,,3000,6,9,12,POR,PHO,0.99,6,4,0.68,4.08,1.36
C,Goga Bitadze,7.7,,3000,6,9,12,IND,CHI,1.05,4,8.6,0.9,3.6,1.2
SG,Edmond Sumner,9.6,,3000,6,9,12,IND,CHI,0.97,4,5.4,0.74,2.96,0.99
PG,Emmanuel Mudiay,14.5,,3000,6,9,12,UTA,BOS,0.9,3,14,0.92,2.76,0.92
PG,Theo Pinson,9.6,,3000,6,9,12,BKN,SA,1.02,3,5.8,0.83,2.49,0.83
PF,Wenyen Gabriel,5.1,,3000,6,9,12,POR,PHO,0.99,4,7.1,0.67,2.68,0.89
SG,Hamidou Diallo,12.6,❄️,3000,6,9,12,OKC,NY,1,4,8,0.69,2.76,0.92
PF,Mike Muscala,10.2,,3000,6,9,12,OKC,NY,1.02,3,10.2,0.84,2.52,0.84
SF,Yuta Watanabe,4.4,,3000,6,9,12,MEM,DAL,1.06,4,5.9,0.66,2.64,0.88
PG,Ty Jerome,9.2,,3000,6,9,12,PHO,POR,1.07,1,4.1,0.84,0.84,0.28
SG,Marko Guduric,9,,3000,6,9,12,MEM,DAL,0.96,1,7.5,0.76,0.76,0.25
C,Jaxson Hayes,16.3,❄️,3000,6,9,12,NO,MIA,0.97,1,5.4,0.96,0.96,0.32
C,Damian Jones,13.6,❄️,3000,6,9,12,ATL,WAS,1.11,1,9.9,0.83,0.83,0.28
PF,Michael Kidd-Gilchrist,7.2,,3000,6,9,12,DAL,MEM,1.04,0,3.8,0.67,0,0
C,Ed Davis,7.8,,3000,6,9,12,UTA,BOS,0.98,0,4.5,0.73,0,0
C,Ian Mahinmi,20,❄️,3000,6,9,12,WAS,ATL,1.05,0,13.4,0.94,0,0
SF,Jared Dudley,4.4,,3000,6,9,12,LAL,MIL,0.96,0,2,0.56,0,0
SG,Kyle Korver,12.5,,3000,6,9,12,MIL,LAL,0.95,0,12.5,0.75,0,0
C,Udonis Haslem,5.5,,3000,6,9,12,MIA,NO,1,0,5.5,0.79,0,0
C,Jahlil Okafor,16.2,,3000,6,9,12,NO,MIA,0.97,0,16.4,1.08,0,0
PG,Quinn Cook,8.3,,3000,6,9,12,LAL,MIL,0.99,0,4.2,0.78,0,0
PF,Jarrod Uthoff,1,,3000,6,9,12,MEM,DAL,1,0,1,0.25,0,0
SF,Solomon Hill,13.8,❄️,3000,6,9,12,MIA,NO,1.01,0,7.6,0.75,0,0
C,Cristiano Felicio,12.1,,3000,6,9,12,CHI,IND,1.06,0,13.3,0.66,0,0
PF,Thanasis Antetokounmpo,4,,3000,6,9,12,MIL,LAL,0.88,0,4.6,0.91,0,0
SG,Deonte Burton,6.1,,3000,6,9,12,OKC,NY,1,0,8.1,0.69,0,0
PG,Jaylen Nowell,6.9,,3000,6,9,12,MIN,ORL,0.94,0,7,0.65,0,0
PG,Jared Harper,0.7,,3000,6,9,12,PHO,POR,1.07,0,0.7,0.25,0,0
PG,Carsen Edwards,6.5,,3000,6,9,12,BOS,UTA,1,0,3.8,0.7,0,0
PG,Nickeil Alexander-Walker,11.2,❄️,3000,6,9,12,NO,MIA,0.9,0,1.4,0.92,0,0
PF,Ignas Brazdeikis,3.4,,3000,6,9,12,NY,OKC,0.89,0,4.3,0.58,0,0
C,Johnathan Williams,11,❄️,3000,6,9,12,WAS,ATL,1.05,0,7.8,0.82,0,0
SG,Cameron Reynolds,0,,3000,6,9,12,MIL,LAL,0.95,0,0,0,0,0
SG,Melvin Frazier,2.5,,3000,6,9,12,ORL,MIN,1.03,0,2.6,0.7,0,0
PF,Dzanan Musa,8.7,,3000,6,9,12,BKN,SA,1,0,4.8,0.75,0,0
SG,B.J. Johnson,3.3,,3000,6,9,12,ORL,MIN,1.03,0,1.5,0.55,0,0
PG,Gabe Vincent,6.1,,3000,6,9,12,MIA,NO,1.04,0,6.1,0.59,0,0
PG,Adam Mokoka,5.5,,3000,6,9,12,CHI,IND,0.97,0,7.4,0.55,0,0
SG,Garrison Mathews,9.4,,3000,6,9,12,WAS,ATL,1.06,0,10.2,0.74,0,0
PF,Luka Samanic,0,,3000,6,9,12,SA,BKN,0.93,0,0,0,0,0
PF,Jarrell Brantley,2.2,,3000,6,9,12,UTA,BOS,0.99,0,2.2,0.72,0,0
PF,Devontae Cacok,0,,3000,6,9,12,LAL,MIL,1.05,0,0,0,0,0
SF,Zylan Cheatham,5,,3000,6,9,12,NO,MIA,0.97,0,5,0.48,0,0
PF,Juwan Morgan,2.9,,3000,6,9,12,UTA,BOS,0.99,0,4.9,0.62,0,0
SG,Josh Reaves,0,,3000,6,9,12,DAL,MEM,1.06,0,0,0,0,0
PG,Jeremiah Martin,3.4,,3000,6,9,12,BKN,SA,1.02,0,3.4,0.61,0,0
PF,Vic Law,0.3,,3000,6,9,12,ORL,MIN,1,0,0.3,0.16,0,0
SG,Brian Bowen,2.4,,3000,6,9,12,IND,CHI,0.97,0,2.4,0.7,0,0
C,Kyle Alexander,0,,3000,6,9,12,MIA,NO,1,0,0,0,0,0
PG,Justin Wright-Foreman,0,,3000,6,9,12,UTA,BOS,0.9,0,0,0,0,0
SG,Talen Horton-Tucker,2.5,,3000,6,9,12,LAL,MIL,0.99,0,2.5,1,0,0
C,Moses Brown,4.6,,3000,6,9,12,POR,PHO,1.02,0,4.1,1.05,0,0
PG,Tremont Waters,7.3,,3000,6,9,12,BOS,UTA,1,0,6.2,0.81,0,0
C,Chris Silva,8.8,,3000,6,9,12,MIA,NO,1,0,8,1.07,0,0
C,Nicolas Claxton,10.6,🔥,3000,6,9,12,BKN,SA,0.99,0,15.8,0.85,0,0
SG,Charlie Brown,4,,3000,6,9,12,ATL,WAS,1.12,0,4.6,0.9,0,0
PF,Isaiah Roby,0.7,,3000,6,9,12,OKC,NY,1.02,0,0.7,0.18,0,0
PG,Jalen Lecque,3.1,,3000,6,9,12,PHO,POR,1.07,0,3.1,0.46,0,0
SG,Rayjon Tucker,2.8,,3000,6,9,12,UTA,BOS,1.01,0,2.4,0.49,0,0
SF,KZ Okpala,4.1,,3000,6,9,12,MIA,NO,1.01,0,4.1,0.81,0,0
PF,Tariq Owens,3.3,,3000,6,9,12,PHO,POR,1.11,0,3.3,0.61,0,0
SG,Quinndary Weatherspoon,0,,3000,6,9,12,SA,BKN,1,0,0,0,0,0
SF,Admiral Schofield,6.9,,3000,6,9,12,WAS,ATL,1.17,0,7.3,0.59,0,0
C,Tacko Fall,5.9,,3000,6,9,12,BOS,UTA,1,0,5.6,1.36,0,0
SF,Jaylen Hoard,7.6,,3000,6,9,12,POR,PHO,0.99,0,10.8,0.88,0,0
SG,Miye Oni,0.4,,3000,6,9,12,UTA,BOS,1.01,0,0.4,0.17,0,0
PG,Allonzo Trier,10.2,,3000,6,9,12,NY,OKC,1,0,9.3,0.85,0,0
SG,Damyean Dotson,12.4,,3000,6,9,12,NY,OKC,0.94,0,13.2,0.71,0,0
PG,Kadeem Allen,10.5,,3000,6,9,12,NY,OKC,1,0,12.7,0.89,0,0
SG,Antonius Cleveland,2,,3000,6,9,12,DAL,MEM,1.06,0,1.8,0.56,0,0
PG,Naz Mitrou-Long,12,,3000,6,9,12,IND,CHI,0.89,0,12,0.84,0,0
PG,Josh Gray,2.5,,3000,6,9,12,NO,MIA,0.9,0,2.5,0.23,0,0
PF,Chimezie Metu,5.9,,3000,6,9,12,SA,BKN,0.93,0,6.3,1.34,0,0
PG,Jacob Evans,9.2,,3000,6,9,12,MIN,ORL,0.94,0,10.2,0.64,0,0
SF,Jarred Vanderbilt,2.8,,3000,6,9,12,MIN,ORL,0.98,0,4.1,0.67,0,0
PF,Kevin Hervey,1.2,,3000,6,9,12,OKC,NY,1.02,0,1.2,0.33,0,0
PF,Alize Johnson,3.5,,3000,6,9,12,IND,CHI,1.13,0,2.3,0.79,0,0
PF,Kenrich Williams,15.1,❄️,3000,6,9,12,NO,MIA,0.98,0,4.7,0.68,0,0
SF,Kostas Antetokounmpo,1.4,,3000,6,9,12,LAL,MIL,0.96,0,1.4,0.69,0,0
C,Omari Spellman,16.8,,3000,6,9,12,MIN,ORL,0.9,0,12.9,0.93,0,0
C,T.J. Leaf,7.3,,3000,6,9,12,IND,CHI,1.05,0,3.2,0.96,0,0
C,Vincent Poirier,5.3,,3000,6,9,12,BOS,UTA,1,0,4.8,0.93,0,0
PF,Rodions Kurucs,9.6,,3000,6,9,12,BKN,SA,1,0,8.2,0.74,0,0
PF,D.J. Wilson,6.9,,3000,6,9,12,MIL,LAL,0.88,0,5.3,0.8,0,0
PG,Frank Mason,5,,3000,6,9,12,MIL,LAL,1.04,0,5,0.87,0,0
PG,Nigel Williams-Goss,2.6,,3000,6,9,12,UTA,BOS,0.9,0,4,0.74,0,0
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
