Pos,Player,PPG,HEAT,Sal,2x,3x,4x,TM,Opp,DvP,PM,Pts L5,FPPM,Proj P,Proj V
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,